Modelo;Conjunto;Métrica;cantopop;dance;dancehall;edm;electro;forro;gospel;happy;hard-rock;hardstyle;Média;Média Ponderada
NaiveBayes;Treino;Precisão;0,619;0,336;0,597;0,387;0,497;0,663;0,707;0,670;0,594;0,467;0,554;0,554
NaiveBayes;Treino;Recall;0,715;0,529;0,559;0,369;0,212;0,889;0,729;0,454;0,370;0,599;0,542;0,542
NaiveBayes;Treino;F1-Score;0,664;0,411;0,577;0,378;0,298;0,760;0,718;0,541;0,456;0,525;0,533;0,533
NaiveBayes;Treino;Suporte;800;800;800;800;800;800;800;800;800;800;8000;8000
NaiveBayes;Treino;Acurácia;-;-;-;-;-;-;-;-;-;-;0,542;-
