Modelo;Conjunto;Métrica;cantopop;dance;dancehall;edm;electro;forro;gospel;happy;hard-rock;hardstyle;Média;Média Ponderada
XGBClassifier;Treino;Precisão;0,999;0,876;0,972;0,720;0,865;0,997;0,996;0,962;1,000;0,960;0,935;0,935
XGBClassifier;Treino;Recall;1,000;0,789;0,965;0,846;0,806;0,996;0,998;0,960;0,999;0,963;0,932;0,932
XGBClassifier;Treino;F1-Score;0,999;0,830;0,969;0,778;0,834;0,997;0,997;0,961;0,999;0,961;0,933;0,933
XGBClassifier;Treino;Suporte;800;800;800;800;800;800;800;800;800;800;8000;8000
XGBClassifier;Treino;Acurácia;-;-;-;-;-;-;-;-;-;-;0,932;-
