Modelo;Conjunto;Métrica;cantopop;dance;dancehall;edm;electro;forro;gospel;happy;hard-rock;hardstyle;Média;Média Ponderada
DecisionTree;Teste;Precisão;0,662;0,502;0,667;0,249;0,379;0,781;0,732;0,630;0,684;0,626;0,591;0,591
DecisionTree;Teste;Recall;0,695;0,545;0,590;0,265;0,390;0,785;0,710;0,655;0,640;0,585;0,586;0,586
DecisionTree;Teste;F1-Score;0,678;0,523;0,626;0,257;0,384;0,783;0,721;0,642;0,661;0,605;0,588;0,588
DecisionTree;Teste;Suporte;200;200;200;200;200;200;200;200;200;200;2000;2000
DecisionTree;Teste;Acurácia;-;-;-;-;-;-;-;-;-;-;0,586;-
