Modelo;Conjunto;Métrica;cantopop;dance;dancehall;edm;electro;forro;gospel;happy;hard-rock;hardstyle;Média;Média Ponderada
KNeighbors;Teste;Precisão;0,657;0,512;0,717;0,332;0,458;0,740;0,739;0,722;0,718;0,628;0,622;0,622
KNeighbors;Teste;Recall;0,755;0,540;0,710;0,390;0,350;0,855;0,735;0,610;0,560;0,685;0,619;0,619
KNeighbors;Teste;F1-Score;0,702;0,526;0,714;0,359;0,397;0,794;0,737;0,661;0,629;0,656;0,617;0,617
KNeighbors;Teste;Suporte;200;200;200;200;200;200;200;200;200;200;2000;2000
KNeighbors;Teste;Acurácia;-;-;-;-;-;-;-;-;-;-;0,619;-
