Modelo;Conjunto;Métrica;cantopop;dance;dancehall;edm;electro;forro;gospel;happy;hard-rock;hardstyle;Média;Média Ponderada
LogisticRegression;Teste;Precisão;0,621;0,389;0,580;0,356;0,237;0,631;0,546;0,551;0,487;0,476;0,488;0,488
LogisticRegression;Teste;Recall;0,640;0,455;0,635;0,285;0,095;0,760;0,565;0,565;0,580;0,500;0,508;0,508
LogisticRegression;Teste;F1-Score;0,631;0,419;0,606;0,317;0,136;0,689;0,555;0,558;0,530;0,488;0,493;0,493
LogisticRegression;Teste;Suporte;200;200;200;200;200;200;200;200;200;200;2000;2000
LogisticRegression;Teste;Acurácia;-;-;-;-;-;-;-;-;-;-;0,508;-
