Modelo;Conjunto;Métrica;cantopop;dance;dancehall;edm;electro;forro;gospel;happy;hard-rock;hardstyle;Média;Média Ponderada
LGBMClassifier;Teste;Precisão;0,869;0,615;0,824;0,368;0,432;0,832;0,809;0,804;0,814;0,780;0,715;0,715
LGBMClassifier;Teste;Recall;0,795;0,590;0,820;0,390;0,445;0,915;0,825;0,780;0,810;0,745;0,711;0,712
LGBMClassifier;Teste;F1-Score;0,830;0,602;0,822;0,379;0,438;0,871;0,817;0,792;0,812;0,762;0,713;0,713
LGBMClassifier;Teste;Suporte;200;200;200;200;200;200;200;200;200;200;2000;2000
LGBMClassifier;Teste;Acurácia;-;-;-;-;-;-;-;-;-;-;0,712;-
