Modelo;Conjunto;Métrica;cantopop;dance;dancehall;edm;electro;forro;gospel;happy;hard-rock;hardstyle;Média;Média Ponderada
SVC;Teste;Precisão;0,773;0,475;0,663;0,426;0,527;0,757;0,776;0,682;0,654;0,574;0,631;0,631
SVC;Teste;Recall;0,785;0,670;0,650;0,445;0,295;0,870;0,675;0,580;0,680;0,620;0,627;0,627
SVC;Teste;F1-Score;0,779;0,556;0,657;0,435;0,378;0,809;0,722;0,627;0,667;0,596;0,623;0,623
SVC;Teste;Suporte;200;200;200;200;200;200;200;200;200;200;2000;2000
SVC;Teste;Acurácia;-;-;-;-;-;-;-;-;-;-;0,627;-
