Modelo;Conjunto;Métrica;cantopop;dance;dancehall;edm;electro;forro;gospel;happy;hard-rock;hardstyle;Média;Média Ponderada
GradientBoosting;Teste;Precisão;0,814;0,529;0,734;0,410;0,474;0,826;0,811;0,805;0,739;0,793;0,694;0,694
GradientBoosting;Teste;Recall;0,790;0,600;0,785;0,435;0,365;0,880;0,795;0,785;0,780;0,730;0,695;0,695
GradientBoosting;Teste;F1-Score;0,802;0,562;0,758;0,422;0,412;0,852;0,803;0,795;0,759;0,760;0,693;0,693
GradientBoosting;Teste;Suporte;200;200;200;200;200;200;200;200;200;200;2000;2000
GradientBoosting;Teste;Acurácia;-;-;-;-;-;-;-;-;-;-;0,695;-
